an	and
accede	exceed
accept	except
adept	adopt
adverse	averse
advice	advise
affect	effect
aid	aide
airs	heirs
allude	elude
allusion	illusion
almost	most
aloud	allowed
alternately	alternatively
ambiguous	ambivalent
amiable	amicable
among	between
amoral	immoral
amount	number
amused	bemused
annual	annul
anywheres	nowheres
apart	a part
appraise	apprise
arcane	archaic
as	like
ascent	assent
ascetic	aesthetic
ascribe	describe
aspersion	dispersion
assent	ascent
assistance	assistants
ensure	insure
auger	augur
bad	badly
baited	bated
bare	bear
bazaar	bizarre
belief	believe
beside	besides
better	had better
between	among
biannual	biennial
bimonthly	semimonthly
blithe	lithe
blonde	blond
board	bored
boar	boor
born	borne
lend	loan
braise	braze
brake	break
breath	breathe
bridal	bridle
buy	bye
canvas	canvass
capital	capitol
sensor	censure
site	sight
climactic	climatic
coarse	course
collaborate	corroborate
complement	compliment
compose	comprise
concurrent	consecutive
conform	confirm
congenial	congenital
connote	denote
conscience	conscious
continual	continuous
convince	persuade
co-operation	corporation
core	corpse
correspondence	correspondents
counsel	consul
creak	creek
credible	creditable
criteria	criterion
custom	costume
dairy	diary
deduction	induction
denote	connote
describe	ascribe
desert	dessert
device	devise
diary	dairy
divers	diverse
discreet	discrete
disinterested	uninterested
dispersion	aspersion
each	every
effect	affect
elicit	illicit
elude	allude
emigrant	immigrant
emigrate	immigrate
emanant	imminent
enervate	innervate
entomology	etymology
ethereal	ephemeral
everyone	every one
exceed	accede
except	accept
explicit	implicit
fair	fare
farther	further
faze	phase
few	less
figuratively	literally
flammable	inflammable
flare	flair
flaunt	flout
forbear	forebear
foreword	forward
forth	fourth
foul	fowl
found	founded
founder	flounder
gybe	jibe
gorilla	guerrilla
hail	hale
hanged	hung
herd	heard
here	hear
heroin	heroine
historic	historical
hoard	horde
hole	whole
home	hone
illicit	elicit
illusion	allusion
immortal	immoral
immoral	amoral
immigrant	emigrant
immigrate	emigrate
imminent	eminent, emanant
implicit	explicit
imply	infer
inchoate	incoherent
incredible	incredulous
induction	deduction
innervate	enervate
ensure	assure
intolerable	intolerant
irregardless	regardless
its	it's
gibe	gybe
knew	new
latent	patent
later	latter
lay	lie
lead	led
loan	borrow
less	few
lessen	lesson
liable	libel
lightening	lightning
like	as
literally	figuratively
lithe	blithe
loathe	loath
loose	lose
manner	manor
mantel	mantle
marital	martial
marshal	marshall
me	myself
mete	meat
militate	mitigate
mordant	trenchant
most	almost
mute	moot
no	know
noisome	noisy
nowhere	nowheres
obeisance	obsequious
obtuse	abstruse
overdo	overdue
pamper	pander
passed	past
pasture	pastor
patent	latent
patience	patients
peace	piece
pique	peak
peer	pier
penultimate	ultimate
perspective	prospective
persuade	convince
phase	faze
piquant	pique
plain	plane
portent	potent
pore	pore
practical	practicable
precede	proceed
premise	premises
presence	presents
principal	principle
profit	prophet
profligate	prolific
quiet	quite
quote	quotation
reign	rein
raise	raze
real	really
reality	realty
rebate	refund
regimen	regiment
residence	residents
respectful	respective
respectfully	respectively
restive	restful
retch	wretch
rifle	riffle
rite	write
rise	raise
road	rode
role	roll
sale	sail
sale	sell
sanguine	saturnine
scene	seen
seam	seem
semimonthly	bimonthly
censor	censure
sensual	sensuous
serf	surf
sit	seat
sever	severe
shear	sheer
shore	sure
singly	singularly
sight	cite
sleight-of-hand	slight-of-hand
sole	soul
sometime	sometimes
stationary	stationery
statute	stature
storey	story
straight	strait
supposedly	supposably
taut	taught
tenant	tenet
than	then
there	they're
themself	themselves
threw	through
throes	throws
til	till
too	two
torpid	turgid
tortuous	torturous
undoubtably	indubitably
uninterested	disinterested
vain	vein
venal	venial
verses	versus
vicious	viscous
waist	waste
wary	weary
wave	waive
weak	week
were	we're
weather	whether
wet	whet
which	witch
who's	whose
wont	won't
your	you're
dick	dig
exclation	escalator
waight	waits
